fecha;hospital;provincia;nuevos_hospitalizados_planta;hospitalizados_planta;nuevos_hospitalizados_uci;hospitalizados_uci;nuevas_altas;altas;nuevos_fallecimientos;fallecimientos;codigo_ine;posicion
2020-03-18;Complejo Asistencial de Ávila;Ávila;6;24;0;1;0;1;1;1;5019;40.616092,-4.929031
2020-03-18;Complejo Asistencial Universitario de Salamanca;Salamanca;8;44;0;4;0;4;2;8;37274;40.833333,-6.0
2020-03-18;Complejo Asistencial de Zamora;Zamora;6;15;0;4;0;0;1;1;49275;41.75,-6.0
2020-03-19;Complejo Asistencial de Ávila;Ávila;3;25;0;1;1;2;1;2;5019;40.616092,-4.929031
2020-03-19;Hospital Santiago Apóstol;Burgos;12;4;4;0;1;4;3;0;9059;42.383333,-3.666667
2020-03-19;Hospital Santos Reyes;Burgos;0;7;0;0;2;0;0;0;9059;42.383333,-3.666667
2020-03-19;Hospital El Bierzo;León;4;8;2;1;0;0;1;0;24089;42.666667,-6.0
2020-03-19;Complejo Asistencial de Soria;Soria;7;23;1;6;0;4;1;5;42173;41.666667,-2.666667
2020-03-20;Complejo Asistencial Universitario de Burgos;Burgos;15;71;5;26;6;16;3;11;9059;42.383333,-3.666667
2020-03-20;Complejo Asistencial Universitario de Palencia;Palencia;8;19;2;3;0;1;0;0;34120;42.432128,-4.520647
2020-03-20;Hospital Universitario Río Hortega;Valladolid;9;33;2;8;1;1;1;2;47186;41.583333,-4.666667
2020-03-21;Hospital Santos Reyes;Burgos;1;17;0;0;0;0;0;1;9059;42.383333,-3.666667
2020-03-21;Complejo Asistencial Universitario de Palencia;Palencia;6;25;1;5;1;2;0;0;34120;42.432128,-4.520647
2020-03-21;Complejo Asistencial de Segovia;Segovia;7;46;2;9;3;9;3;13;40004;41.166667,-4.0
2020-03-21;Hospital Clínico Universitario de Valladolid;Valladolid;8;42;3;13;4;4;2;4;47186;41.583333,-4.666667
2020-03-21;Hospital de Medina del Campo;Valladolid;2;4;0;0;1;3;0;1;47186;41.583333,-4.666667
2020-03-21;Hospital Universitario Río Hortega;Valladolid;23;56;2;8;5;6;3;5;47186;41.583333,-4.666667
2020-03-22;Complejo Asistencial Universitario de Burgos;Burgos;11;95;3;30;0;20;1;13;9059;42.383333,-3.666667
2020-03-22;Complejo Asistencial Universitario de León;León;26;93;1;10;7;10;7;14;24089;42.666667,-6.0
2020-03-22;Complejo Asistencial de Segovia;Segovia;31;79;2;8;5;14;7;20;40004;41.166667,-4.0
2020-03-22;Hospital Clínico Universitario de Valladolid;Valladolid;9;48;1;14;1;5;1;5;47186;41.583333,-4.666667
2020-03-22;Complejo Asistencial de Zamora;Zamora;8;38;0;11;1;4;1;3;49275;41.75,-6.0
2020-03-23;Complejo Asistencial Universitario de León;León;42;135;0;12;6;16;6;20;24089;42.666667,-6.0
